bedrooms,bathrooms,stories,mainroad,guestroom,basement,airconditioning,parking,furnishingstatus,price_scaled,area_scaled
2,1,1,0,0,0,0,0,0,-1.1562678792740928,-1.0324404087866506
2,1,1,1,0,0,1,0,0,-1.1300708293453903,-0.9057205333740911
3,1,2,1,0,0,1,0,0,-1.1300708293453903,-0.5301689026059605
2,1,1,1,0,0,0,0,0,-1.1263283936412898,-0.5605816727049747
2,1,2,1,0,0,0,0,1,-1.1263283936412898,-1.4517679965154833
3,3,2,0,1,0,0,0,0,-1.1263283936412898,-0.7006647349792222
3,1,1,1,0,0,0,0,0,-1.1263283936412898,-1.0831283589516743
3,1,1,0,0,0,0,0,0,-1.1263283936412898,-1.253624191324936
2,1,1,1,0,0,0,1,1,-1.1263283936412898,-0.7697846670224364
3,1,1,1,0,0,0,0,1,-1.1263283936412898,-0.5301689026059605
2,1,1,1,0,0,0,0,0,-1.107616215120788,-0.5301689026059605
2,1,1,1,0,0,0,0,0,-1.0889040366002862,0.7600698288673715
3,1,2,1,0,0,0,1,0,-1.0889040366002862,-0.5301689026059605
3,1,2,1,0,1,0,1,0,-1.0514796795592825,-1.1522482909948883
3,1,1,1,0,0,0,0,2,-1.0514796795592825,-0.5486008844841509
3,1,2,0,0,0,0,1,1,-1.0327675010387807,-0.8527285854742935
3,1,2,0,0,0,0,1,0,-1.0327675010387807,-0.368889061171794
2,1,1,0,0,0,0,1,2,-1.0327675010387807,-1.156856286464436
4,1,3,1,0,0,0,0,0,-1.0234114117785296,0.022790553739753243
2,1,1,0,0,0,0,0,0,-1.0140553225182787,-0.9725364676825314
2,1,1,1,0,0,0,0,0,-1.0140553225182787,-0.7006647349792222
2,1,1,1,0,0,0,0,1,-1.0140553225182787,0.3914301913035624
4,1,2,1,0,0,0,0,0,-1.0140553225182787,0.11495046313070553
3,1,2,1,0,1,0,1,0,-0.976630965477275,0.3223102592603482
2,1,1,1,0,0,0,0,0,-0.976630965477275,-0.0878013375293895
3,1,2,0,0,0,0,1,0,-0.976630965477275,-0.7144887213878651
4,1,2,0,0,0,0,0,0,-0.976630965477275,-0.6868407485705794
3,1,2,0,0,0,0,1,1,-0.976630965477275,-0.7697846670224364
2,1,1,0,0,0,0,0,2,-0.976630965477275,-1.1292083136471505
3,1,2,0,0,0,0,0,0,-0.976630965477275,-0.9218485175175077
3,1,2,1,0,0,0,0,1,-0.976630965477275,0.6748219126807407
2,1,2,1,0,0,0,0,1,-0.9654036583649739,-0.9909684495607219
4,1,2,0,0,0,0,1,0,-0.9579187869567731,-0.36796746207788444
2,1,1,1,0,0,0,0,0,-0.9429490441403716,1.3360692625608233
3,1,2,0,0,0,0,0,1,-0.9392066084362712,-0.9494964903347934
3,1,2,1,0,0,0,2,1,-0.9392066084362712,-0.8803765582915792
2,1,1,1,0,0,0,0,1,-0.9392066084362712,-1.0670003748082575
2,1,1,1,0,0,0,0,2,-0.9392066084362712,-0.2536891744331036
3,1,1,0,0,0,0,0,0,-0.9392066084362712,-0.03434859008263717
3,1,2,1,0,0,0,0,0,-0.9392066084362712,-0.6453687893446508
4,1,2,1,0,0,0,3,1,-0.9392066084362712,-0.7006647349792222
2,1,1,1,0,0,0,0,0,-0.9204944299157695,-0.6223288119969128
2,1,1,1,0,1,1,0,0,-0.9017822513952676,-0.0878013375293895
3,1,2,0,0,1,0,0,1,-0.9017822513952676,-1.3780400690027215
2,1,1,1,1,1,0,0,0,-0.9017822513952676,-0.9494964903347934
2,1,2,1,0,0,0,1,1,-0.9017822513952676,-0.2997691291285798
2,1,1,1,0,0,0,1,0,-0.8980398156911672,1.3591092399085614
3,1,1,0,0,0,1,0,0,-0.8830700728747657,-0.9909684495607219
3,1,2,1,0,0,0,0,0,-0.8830700728747657,-0.5992888346491747
2,1,1,1,0,0,0,0,0,-0.8830700728747657,-0.7605686760833412
3,1,1,1,0,0,0,0,1,-0.8810117332375105,-1.2683697768274884
3,1,1,1,0,1,0,0,0,-0.8755852014665649,0.15872642009140786
3,1,2,1,0,0,1,0,0,-0.8681003300583642,-0.2997691291285798
1,1,1,1,0,0,0,0,2,-0.8643578943542638,-0.7836086534310793
2,2,1,0,1,1,0,1,0,-0.8643578943542638,-0.5366200962633272
2,1,1,0,0,1,0,0,1,-0.8643578943542638,-0.7605686760833412
2,1,1,1,0,0,0,2,1,-0.8643578943542638,-0.48639294564525815
3,1,2,0,0,1,0,0,0,-0.8643578943542638,-1.6130478379496498
3,1,2,1,0,1,0,0,1,-0.8643578943542638,-0.7836086534310793
2,1,1,1,0,0,0,0,1,-0.8643578943542638,0.7370298515196335
3,1,2,1,0,0,0,2,1,-0.8643578943542638,1.7738288321678468
2,1,1,1,0,0,0,1,0,-0.8643578943542638,-0.9591732808208434
3,1,2,1,0,0,0,0,0,-0.8269335373132601,-0.35967307023269873
2,1,1,1,0,0,1,1,0,-0.8269335373132601,-1.1365811063984266
3,1,1,0,0,0,0,1,0,-0.8269335373132601,-0.38271304758043684
3,1,2,0,0,0,0,0,2,-0.8269335373132601,-0.9356725039261505
4,1,2,1,0,1,0,0,0,-0.8194486659050594,-0.6960567395096746
2,1,1,0,0,0,0,0,1,-0.8082213587927582,-0.2997691291285798
2,1,1,0,0,0,0,0,0,-0.8082213587927582,-0.5624248708927938
2,1,1,0,0,0,1,0,0,-0.7895091802722564,-1.2213682230381027
4,1,2,1,0,1,1,0,0,-0.7895091802722564,-0.9080245311088648
3,1,1,1,1,1,0,0,2,-0.7895091802722564,0.4190781641208481
4,1,2,0,0,0,0,1,1,-0.7895091802722564,-0.7697846670224364
4,1,2,1,0,0,0,0,1,-0.7895091802722564,-0.6260152083725509
2,1,1,1,0,0,0,0,0,-0.7895091802722564,-0.51173692072777
3,1,2,1,0,1,0,0,2,-0.7895091802722564,-1.384952062207043
3,1,1,1,0,0,0,1,0,-0.7895091802722564,0.336134245668991
2,1,1,1,0,0,0,1,0,-0.7707970017517546,-0.51173692072777
4,1,2,1,0,0,0,0,0,-0.7707970017517546,-0.17304925371602037
3,1,2,1,0,1,0,0,2,-0.7670545660476542,-1.384952062207043
3,1,1,0,0,0,0,0,2,-0.7558272589353531,-1.1292083136471505
4,1,2,1,0,0,1,2,0,-0.7520848232312527,-0.7605686760833412
4,1,3,0,0,0,0,0,1,-0.7520848232312527,-0.0878013375293895
2,1,2,1,0,0,0,0,0,-0.7520848232312527,-0.4748729569713891
2,1,1,1,0,0,0,0,0,-0.7520848232312527,-0.18456924238988942
2,1,1,0,0,0,1,0,0,-0.7520848232312527,-0.6591927757532937
3,1,1,1,0,0,0,0,0,-0.7520848232312527,-0.6453687893446508
3,1,2,0,0,1,0,0,1,-0.7520848232312527,-0.9448884948652458
2,1,1,1,0,1,0,2,2,-0.7520848232312527,-0.9057205333740911
3,1,2,1,1,1,1,1,2,-0.7333726447107508,-0.16844125824647277
3,1,1,1,0,1,0,2,0,-0.7333726447107508,-0.7836086534310793
2,1,1,1,0,0,0,0,2,-0.7333726447107508,-0.6960567395096746
2,1,1,1,0,0,0,0,0,-0.7184029018943493,-0.51173692072777
2,1,1,1,0,0,0,0,0,-0.7146604661902489,-0.5301689026059605
2,1,1,1,0,0,0,2,0,-0.7146604661902489,-0.9057205333740911
3,1,1,1,0,0,0,0,0,-0.7146604661902489,-0.5992888346491747
3,1,3,1,0,0,0,0,2,-0.7146604661902489,-1.384952062207043
3,1,2,1,0,1,0,0,0,-0.7146604661902489,-1.170680272873079
3,2,2,1,0,1,0,0,0,-0.7146604661902489,-1.4748079738632214
3,1,1,1,0,0,0,0,0,-0.6959482876697471,-0.9633204767434362
2,1,1,1,0,0,0,1,0,-0.6959482876697471,0.07808649937432462
3,1,3,1,0,0,0,0,2,-0.6959482876697471,-1.384952062207043
3,1,2,0,0,0,0,0,0,-0.6809785448533456,-0.11544931034667519
3,1,2,1,0,0,1,0,1,-0.6772361091492453,-0.41957701133681774
3,1,2,1,0,0,0,0,0,-0.6772361091492453,-0.691448744040127
4,1,2,1,0,0,0,0,1,-0.6772361091492453,-0.2536891744331036
3,2,2,0,0,0,0,0,0,-0.6772361091492453,-1.3895600576765905
3,1,2,1,0,1,0,0,1,-0.6772361091492453,-0.9743796658703505
3,1,2,1,0,0,0,0,1,-0.6772361091492453,-0.5347768980755081
3,1,1,0,0,0,0,0,0,-0.6772361091492453,1.0476087461671426
3,1,1,0,0,0,1,0,0,-0.6772361091492453,-0.7697846670224364
6,1,2,1,0,0,0,1,0,-0.6772361091492453,-0.7144887213878651
2,1,1,1,0,0,0,1,1,-0.6772361091492453,-0.6960567395096746
2,1,1,1,0,0,0,1,2,-0.6772361091492453,0.3453502366080863
3,1,2,1,0,0,0,1,0,-0.6772361091492453,-0.9356725039261505
2,1,1,1,0,0,0,1,1,-0.6772361091492453,1.0135095796924904
2,1,1,1,0,0,0,1,0,-0.6772361091492453,-0.7550390815198841
3,1,2,1,0,0,0,3,0,-0.6772361091492453,2.0042286056452276
2,1,1,1,0,0,0,0,0,-0.6772361091492453,0.336134245668991
3,1,1,1,0,0,0,0,0,-0.6772361091492453,3.591222245357426
3,1,1,1,0,0,0,2,0,-0.6585239306287434,-0.5992888346491747
3,1,2,1,0,1,0,0,2,-0.6398117521082415,-0.9218485175175077
4,2,2,1,0,1,0,2,2,-0.6398117521082415,-0.2997691291285798
2,1,1,0,0,0,0,0,2,-0.6398117521082415,-0.2997691291285798
2,1,1,1,0,0,0,0,0,-0.6398117521082415,-0.6960567395096746
2,1,1,1,0,0,0,0,1,-0.6210995735877397,-0.2997691291285798
2,1,1,1,0,0,0,0,1,-0.6210995735877397,-0.5301689026059605
3,1,1,1,0,0,0,2,0,-0.6061298307713382,-0.751352685144246
2,1,1,1,0,0,1,2,1,-0.6023873950672378,-0.4011450294586273
3,1,2,1,0,1,0,0,1,-0.6023873950672378,-0.7283127077965079
3,1,2,0,0,1,0,0,1,-0.6023873950672378,-0.9080245311088648
2,1,2,1,0,0,1,0,2,-0.6023873950672378,-0.9909684495607219
2,2,1,1,0,1,0,0,1,-0.6023873950672378,-0.751352685144246
3,1,2,1,1,1,0,0,0,-0.6023873950672378,0.37299820942537193
3,2,2,1,0,0,0,2,1,-0.6023873950672378,-0.4702649615018415
3,2,2,0,0,1,0,0,0,-0.6023873950672378,-1.0600883816039361
3,1,3,1,0,0,1,0,1,-0.6023873950672378,-1.325048121102924
2,1,1,1,0,1,0,0,2,-0.5836752165467359,-0.7006647349792222
2,1,1,1,0,0,1,0,0,-0.5836752165467359,-0.7006647349792222
2,1,1,0,0,0,0,0,1,-0.5836752165467359,0.22554235439984827
2,1,1,1,0,0,0,0,2,-0.5836752165467359,-0.7144887213878651
3,1,2,0,0,1,0,0,1,-0.5687054737303344,-0.9356725039261505
2,1,1,1,0,0,0,0,2,-0.5687054737303344,0.1379904404784436
3,1,1,1,0,0,0,1,0,-0.564963038026234,-0.7144887213878651
2,1,1,1,0,0,0,0,1,-0.564963038026234,-0.51173692072777
3,1,1,1,0,0,0,0,1,-0.564963038026234,0.40064618224265763
2,1,1,1,0,0,0,0,2,-0.564963038026234,-0.5071289252582224
2,1,1,1,0,0,0,0,1,-0.564963038026234,-0.7218615141391412
2,1,1,1,0,0,0,0,1,-0.5462508595057323,-0.7697846670224364
3,1,1,1,0,0,0,2,2,-0.5312811166893308,1.4282291719517757
5,2,1,0,0,1,1,1,2,-0.5312811166893308,-1.2121522320990075
4,1,2,0,0,0,0,1,2,-0.5312811166893308,0.8199737699714905
3,1,2,1,0,0,0,0,1,-0.5275386809852304,-0.15231327410305612
2,1,2,1,0,0,0,1,1,-0.5275386809852304,-0.7974326398397221
2,1,1,1,0,0,0,0,1,-0.5275386809852304,-0.7144887213878651
2,1,1,1,0,0,0,2,0,-0.5275386809852304,0.313094268321253
3,1,3,1,0,0,0,0,2,-0.5275386809852304,-1.0573235843222075
2,1,1,1,0,0,0,1,2,-0.5275386809852304,1.4973491039949898
2,2,1,0,0,1,0,0,1,-0.5088265024647285,-0.9218485175175077
3,1,2,1,0,0,0,0,0,-0.49759919535242736,-0.8296886081265554
5,2,2,1,0,0,0,0,1,-0.49011432394422666,0.06887050843522939
2,2,1,1,0,1,0,2,1,-0.49011432394422666,-0.9080245311088648
3,1,2,1,0,0,1,0,2,-0.49011432394422666,0.9222712693954476
2,1,1,1,0,0,0,0,1,-0.49011432394422666,-0.4933049388495796
2,1,1,1,0,0,0,0,1,-0.49011432394422666,-0.5992888346491747
3,1,2,1,0,1,0,0,1,-0.49011432394422666,-1.444856003311162
2,1,2,1,1,0,0,0,1,-0.49011432394422666,-1.3706672762514454
2,1,2,1,1,1,0,0,1,-0.47140214542372477,-0.631544802936008
4,2,2,1,0,0,0,0,2,-0.47140214542372477,-0.9080245311088648
3,2,1,1,1,1,0,3,2,-0.45268996690322294,0.9720376204665618
4,1,2,1,1,1,0,0,1,-0.45268996690322294,0.1610304178261817
3,1,2,1,0,0,0,0,1,-0.45268996690322294,-0.9909684495607219
2,1,1,1,0,0,0,1,2,-0.45268996690322294,-0.8573365809438411
2,1,1,1,0,1,1,2,2,-0.45268996690322294,-0.6149560192456366
3,1,1,1,0,0,1,2,1,-0.45268996690322294,1.3498932489694662
4,2,1,1,0,1,0,0,0,-0.45268996690322294,-1.384952062207043
4,1,1,0,0,1,0,0,0,-0.4152656098622192,-0.48408894791048435
3,1,2,0,0,0,1,1,1,-0.4152656098622192,0.6126139738418479
3,2,2,0,0,1,1,0,1,-0.4152656098622192,-0.2997691291285798
3,1,2,1,0,0,0,0,2,-0.4152656098622192,-0.5486008844841509
2,1,2,1,1,1,0,0,0,-0.4152656098622192,-0.5071289252582224
3,1,2,0,0,1,1,0,1,-0.4059095206019683,-0.2997691291285798
4,1,2,1,0,0,1,0,1,-0.4059095206019683,-0.7790006579615316
3,2,2,1,0,0,0,2,1,-0.39655343134171733,-0.7006647349792222
3,2,1,1,0,1,1,1,2,-0.39655343134171733,-0.7790006579615316
3,1,1,1,0,0,0,3,1,-0.39655343134171733,0.11495046313070553
4,2,2,0,0,1,0,1,0,-0.3778412528212155,0.3453502366080863
3,2,2,1,0,0,0,2,0,-0.3778412528212155,-0.07305575202683713
3,1,1,1,0,0,0,0,1,-0.3778412528212155,-0.3734970566413416
4,1,3,1,0,1,1,2,1,-0.3778412528212155,-0.9909684495607219
3,1,2,1,0,0,0,2,2,-0.3778412528212155,-0.38271304758043684
3,2,2,1,0,0,0,0,1,-0.3591290743007136,-0.6776247576314841
2,1,2,1,0,0,0,1,1,-0.3591290743007136,-0.51173692072777
2,1,1,1,0,0,1,0,1,-0.3591290743007136,0.20711037252165782
3,1,1,1,0,1,1,0,2,-0.3572578564486634,-0.7144887213878651
2,1,1,1,0,1,0,1,1,-0.3441593314843121,0.4190781641208481
4,1,2,1,0,0,1,0,1,-0.3404168957802118,-0.23894358893055126
3,1,1,1,0,1,0,0,1,-0.3404168957802118,0.384518198099241
3,1,2,1,0,0,0,1,1,-0.3217047172597099,-0.14309728316396086
3,1,2,1,0,0,0,2,1,-0.3217047172597099,-0.4933049388495796
3,1,2,1,0,1,0,1,1,-0.3217047172597099,-0.5089721234460415
3,1,1,1,0,1,0,3,1,-0.3067349744433084,1.4282291719517757
3,1,2,1,0,0,0,1,1,-0.3067349744433084,-0.7836086534310793
3,1,2,1,0,0,1,0,0,-0.30299253873920806,0.1610304178261817
3,1,2,1,0,1,1,0,0,-0.30299253873920806,-0.05093737377300859
2,1,1,1,1,1,0,2,1,-0.30299253873920806,0.3223102592603482
4,3,2,0,0,0,0,0,1,-0.30299253873920806,-1.170680272873079
3,1,2,1,0,1,1,0,0,-0.30299253873920806,-1.0126260282675956
4,2,2,0,0,0,0,0,1,-0.30299253873920806,-1.1075507349402767
2,1,1,0,0,0,0,1,0,-0.30299253873920806,-0.3412410883545083
4,2,2,0,0,0,0,0,1,-0.30299253873920806,-0.5301689026059605
3,1,2,0,0,0,0,0,1,-0.30299253873920806,-1.3020081437551858
3,2,2,1,0,0,1,1,1,-0.30299253873920806,-0.2536891744331036
3,2,2,1,0,1,0,0,0,-0.30299253873920806,-0.6960567395096746
3,1,1,1,0,0,0,2,1,-0.30299253873920806,0.2992702819126101
3,1,1,1,0,0,0,3,2,-0.30299253873920806,0.8522297382583238
3,1,3,1,0,0,0,0,1,-0.30299253873920806,-0.4937657383965343
3,1,2,1,0,0,0,0,1,-0.30299253873920806,-0.751352685144246
3,1,3,1,0,0,0,1,0,-0.30299253873920806,-1.384952062207043
3,1,1,1,0,1,0,0,2,-0.30299253873920806,-0.2997691291285798
3,1,2,1,1,0,0,0,1,-0.2842803602187062,0.6909498968241573
3,1,1,1,0,1,0,0,2,-0.2842803602187062,-1.089118753062086
2,1,1,1,0,0,0,0,2,-0.26556818169820434,0.5573180282072765
2,1,2,1,0,0,0,0,0,-0.26556818169820434,0.5573180282072765
2,1,1,1,0,0,1,2,2,-0.26556818169820434,-0.2997691291285798
3,1,2,0,1,1,1,0,0,-0.26556818169820434,-1.3711280757984001
4,1,2,1,0,0,0,0,2,-0.26556818169820434,-0.3642810657022464
2,1,1,1,0,0,0,1,2,-0.26556818169820434,1.20704538941349
3,1,2,1,0,1,0,2,1,-0.26182574599410396,-0.8066486307788173
2,1,1,1,0,0,0,1,1,-0.24685600317770245,-0.34584908382405594
2,1,1,1,0,0,0,1,1,-0.24685600317770245,2.4005162160263223
2,1,1,1,0,1,0,0,2,-0.2393711317695017,-0.5154233171034082
3,2,3,1,0,0,0,1,2,-0.2281438246572006,-0.2997691291285798
5,1,2,0,0,1,0,0,1,-0.2281438246572006,-1.4955439534761856
3,1,1,1,1,1,0,2,1,-0.2281438246572006,-0.4956089365843534
4,1,2,1,0,0,0,2,2,-0.2281438246572006,-0.7605686760833412
4,1,2,1,0,0,0,0,1,-0.2281438246572006,0.598789987433205
3,1,2,1,0,0,0,0,0,-0.20943164613669873,-0.5762488573014366
4,1,2,1,0,0,1,0,1,-0.20568921043259836,-0.09240933299893712
3,1,2,1,0,0,0,0,1,-0.19446190332029725,-1.0462643951952932
3,1,1,1,0,0,0,2,0,-0.19446190332029725,-0.12466530128577041
3,1,2,1,0,0,0,1,1,-0.19446190332029725,-0.10623331940757996
3,1,2,0,0,0,0,0,1,-0.19071946761619687,-0.5449144881085128
2,1,2,1,0,1,0,0,1,-0.19071946761619687,-0.11544931034667519
2,1,1,1,1,1,0,0,1,-0.17200728909569502,-0.6453687893446508
2,1,1,1,0,1,1,1,2,-0.15703754627929353,0.5573180282072765
3,1,2,1,0,0,1,1,2,-0.15703754627929353,-0.9163189229540506
3,1,2,1,0,0,0,0,1,-0.15703754627929353,-0.7559606806137936
4,1,2,1,0,0,1,2,1,-0.15329511057519316,-0.2951611336590321
2,1,1,1,0,0,1,1,0,-0.15329511057519316,0.3384382434037648
3,1,2,1,0,0,0,2,2,-0.15329511057519316,-0.5301689026059605
3,1,1,1,0,0,0,0,2,-0.15329511057519316,1.4282291719517757
3,1,2,1,0,0,0,1,1,-0.15329511057519316,-0.51173692072777
3,1,3,1,0,0,0,0,1,-0.1345829320546913,-0.7559606806137936
3,1,2,1,0,1,0,1,1,-0.1345829320546913,-0.7836086534310793
3,1,1,1,0,0,0,0,1,-0.1345829320546913,2.1701164425489416
2,1,2,1,0,0,0,0,2,-0.1345829320546913,-0.751352685144246
2,2,1,1,1,1,0,0,1,-0.11961318923828981,-0.48408894791048435
4,2,2,1,1,1,0,0,2,-0.11961318923828981,-0.07397735112074666
3,1,1,1,0,0,0,2,1,-0.11587075353418944,-0.6407607938751032
3,1,2,1,0,0,1,0,2,-0.11587075353418944,-0.6960567395096746
3,1,2,1,0,1,0,0,2,-0.11587075353418944,-1.1983282456903646
3,1,2,1,1,1,0,0,1,-0.11587075353418944,0.07808649937432462
3,1,2,1,0,0,0,2,0,-0.11587075353418944,0.09651848125251507
3,1,1,1,0,0,0,0,1,-0.11587075353418944,-0.751352685144246
4,1,4,1,0,0,0,3,0,-0.11587075353418944,1.4973491039949898
3,1,2,1,0,0,0,1,2,-0.09715857501368758,-0.5301689026059605
3,1,2,1,0,0,0,1,1,-0.09715857501368758,-0.6038968301187223
4,2,2,1,0,1,0,0,1,-0.0821888321972861,-0.2951611336590321
3,1,1,1,1,1,1,0,0,-0.07844639649318572,-0.45644097509319864
3,2,2,1,0,1,0,2,1,-0.07844639649318572,-0.5854648482405319
3,1,2,1,1,0,1,1,1,-0.07844639649318572,0.24397433627803874
2,1,2,1,1,1,0,0,1,-0.07844639649318572,-1.050872390664841
3,1,2,1,0,1,0,0,1,-0.07844639649318572,-0.06476136018165143
3,1,2,1,0,1,0,0,2,-0.059734217972683856,-0.6476727870794247
3,1,4,1,0,0,1,0,1,-0.041022039452181996,0.0089665673311104
2,1,1,1,0,1,1,1,2,-0.041022039452181996,0.3914301913035624
3,1,2,1,0,0,0,2,1,-0.041022039452181996,-0.7006647349792222
4,2,2,1,1,1,0,1,1,-0.041022039452181996,2.0811821299866726
2,1,2,1,0,0,0,0,1,-0.041022039452181996,0.11495046313070553
3,1,1,1,0,0,0,0,1,-0.041022039452181996,-0.38271304758043684
2,1,1,1,0,0,1,3,1,-0.007340118115278647,0.5941819919636574
2,1,1,1,0,1,1,2,1,-0.003597682411178275,1.850321556962337
3,1,2,1,0,1,1,1,2,-0.003597682411178275,0.5393468458760409
2,1,1,1,0,0,1,2,0,-0.003597682411178275,2.345220270391751
4,2,2,1,0,0,0,0,1,0.00014475329292209705,-0.7974326398397221
3,1,2,1,0,1,0,0,0,0.015114496109323585,0.8522297382583238
4,1,4,1,0,1,1,2,1,0.015114496109323585,1.3591092399085614
3,1,3,1,0,0,0,0,0,0.03382667462982544,-0.45644097509319864
3,1,1,1,0,0,0,2,1,0.03382667462982544,0.40986217318175283
3,1,2,1,0,0,1,2,2,0.03382667462982544,0.7886394007785668
2,1,1,1,0,0,1,0,1,0.03382667462982544,-0.15461727183782992
2,1,1,1,0,1,0,0,0,0.0525388531503273,-0.368889061171794
4,2,2,1,0,1,1,2,1,0.0675085959667288,-0.7974326398397221
4,2,1,1,0,1,0,0,1,0.0675085959667288,-0.07167335338597286
3,1,2,1,0,1,1,0,1,0.07125103167082916,-0.2905531381894845
3,1,2,0,1,1,1,0,1,0.07125103167082916,-0.48639294564525815
2,1,1,1,0,1,0,1,1,0.07125103167082916,-0.4748729569713891
4,1,2,1,0,0,0,0,1,0.07125103167082916,0.11495046313070553
3,1,1,1,1,1,0,0,1,0.07125103167082916,-0.17535325145079417
3,1,1,1,0,0,1,2,1,0.07125103167082916,0.5296700553899908
2,1,1,1,1,1,1,0,1,0.07125103167082916,0.2992702819126101
3,1,2,1,0,1,1,0,1,0.07125103167082916,-0.9909684495607219
3,1,3,1,0,0,0,0,1,0.07125103167082916,-1.0047924359693647
3,1,1,1,0,0,0,0,0,0.07125103167082916,0.7232058651109906
3,1,2,1,1,1,0,2,1,0.07125103167082916,-0.2324923952731846
3,1,1,1,0,0,0,2,2,0.07125103167082916,3.570947065291416
3,1,2,1,0,0,0,1,2,0.07499346737492954,-0.4380089932150082
3,1,2,1,0,0,1,0,1,0.08996321019133102,0.3674686148619148
3,2,2,0,0,1,1,1,1,0.10119051730363214,-1.0831283589516743
4,3,2,1,0,1,0,2,1,0.10867538871183288,-0.3412410883545083
3,1,1,1,1,1,0,0,1,0.10867538871183288,1.1683382274692902
3,2,1,1,1,1,0,0,1,0.12738756723233474,1.3821492172562995
2,1,1,1,1,1,0,0,1,0.14235731004873622,-0.16152926504215134
2,1,1,0,1,1,0,0,1,0.1460997457528366,-0.7421366942051507
4,1,2,1,0,0,1,2,2,0.1460997457528366,1.1287094664311808
3,1,2,1,1,1,0,0,1,0.1460997457528366,2.5571880619909413
3,1,1,1,1,1,0,0,2,0.1460997457528366,0.6679099194764193
2,1,2,1,0,0,1,0,0,0.16481192427333846,0.26240631815622917
3,2,2,1,1,1,0,0,2,0.18352410279384032,-0.9909684495607219
3,1,2,1,0,1,0,0,0,0.18352410279384032,-0.9909684495607219
2,1,2,1,0,0,0,0,2,0.18352410279384032,2.884355740328822
3,1,1,1,0,1,1,0,1,0.18352410279384032,0.43751014599903854
3,1,2,0,0,0,1,0,1,0.20223628131434218,-0.8020406353092697
3,1,1,1,0,0,0,1,1,0.20223628131434218,1.30381329427399
3,2,2,1,0,0,0,2,1,0.2396606383553459,-0.9080245311088648
4,2,1,0,0,1,1,2,1,0.2396606383553459,-0.2997691291285798
3,1,2,1,1,1,0,1,2,0.2396606383553459,0.9443896476492761
3,1,1,1,1,1,0,2,1,0.24714550976354666,0.8913976997494786
3,1,1,1,0,1,0,0,1,0.2546303811717474,0.4144701686513005
4,1,2,1,0,1,1,0,2,0.2583728168758478,-0.41036102039772254
4,2,2,0,0,0,1,0,1,0.2583728168758478,0.6402619466591336
